  0.87
 r 0.04
 l 0.09
Njust nn 1.00
roofing nn 1.00
Pending in 1.00
noticed vb 1.00
extrapolates vb 1.00
jostle vb 1.00
typesetting nn 1.00
Feyer's np$ 1.00
anti-Castro jj 1.00
recollections nn 1.00
Shawano nn 1.00
birth nn 1.00
Nabisco nn 1.00
grandfather-father-to-son nn 1.00
extrapolated vb 1.00
Counties nn 1.00
thirty-five cd 1.00
islanders nn 1.00
unusually advb 0.55
unusually ql 0.45
Sawalisch nn 1.00
adventuring vb 1.00
evacuation nn 1.00
rainbow-hued jj 1.00
spacers nn 1.00
xenon nn 1.00
pessimism nn 1.00
Sullam nn 1.00
hydrous jj 1.00
libertines nn 1.00
Grande nn 1.00
digitalization nn 1.00
rims nn 1.00
turbofan nn 1.00
W.M. nn 1.00
Heiser nn 1.00
Upper jj 1.00
shadowed vb 1.00
prints nn 1.00
speeded vb 1.00
typewriters nn 1.00
long-life nn 1.00
Grands fw-jj-tl 1.00
Seurat nn 1.00
bubble nn 1.00
Dienbienphu nn 1.00
suspension nn 1.00
invocation nn 1.00
marginal jj 1.00
layering vb 1.00
kits nn 1.00
bubbly jj 1.00
Furniture nn 1.00
specks nn 1.00
indulgences nn 1.00
clomped vb 1.00
bondage nn 1.00
Margaretville nn 1.00
Sumner nn 1.00
Drenched vb 1.00
overrun nn 0.40
overrun vb 0.60
ramble vb 1.00
shooting nn 0.23
shooting vb 0.77
sectors nn 1.00
encountered vb 1.00
Lightning nn 1.00
repudiation nn 1.00
princess nn 1.00
Mickey's np$ 1.00
quarterly jj 0.80
quarterly advb 0.20
inducing vb 1.00
submerged vb 1.00
laminating vb 1.00
private-school nn 1.00
$139.3 nn 1.00
diagnosed vb 1.00
Inquirer nn 1.00
B-52 nn 1.00
burr nn 1.00
Lancret nn 1.00
corps nn 0.73
corps fw 0.27
casually advb 1.00
poring vb 1.00
Cellist nn 1.00
freeholders nn 1.00
bangs nn 0.75
bangs vb 0.25
appestat nn 1.00
1864 cd 1.00
9-7 cd 1.00
burl nn 1.00
Reeves-type jj 1.00
burn nn 0.33
burn vb 0.67
Gleason nn 1.00
twofold nil 0.25
twofold jj 0.50
twofold advb 0.25
9-1 2 1.00
domicile nn 1.00
exclamations nn 1.00
a-stoopin' vb 1.00
troika fw 1.00
Sunday's nr$ 1.00
exonerated vb 1.00
Clemens' np$ 1.00
1861 cd 1.00
admires vb 1.00
Easily advb 1.00
diaphragmic jj 1.00
weakest jj 1.00
Hackettstown nn 1.00
bunkmate nn 1.00
admired vb 1.00
WWRL's np$ 1.00
swarthy jj 1.00
$500 nn 1.00
over-occupied jj 1.00
overeat vb 1.00
Equator nn 1.00
after-hours jj 1.00
Trustees' nn 1.00
heat-absorbing jj 1.00
metabolites nn 1.00
Phoenix nn 1.00
fathuh nn 1.00
laureate nn 0.50
laureate jj 0.50
Pickering nn 1.00
looking jj 0.02
looking nn 0.02
looking vb 0.96
layer nn 1.00
transcendent jj 1.00
Bizarre jj 1.00
anti-Soviet jj 1.00
weep vb 1.00
sailorly jj 1.00
screeching vb 1.00
robberies nn 1.00
basses nn 1.00
weed vb 1.00
enchantingly advb 1.00
Mahler's np$ 1.00
oversoftness nn 1.00
wooooosh nn 1.00
ventricle nn 1.00
week nn 1.00
clamps nn 1.00
lacks vb 1.00
seismic jj 1.00
Houghton nn 1.00
Moore nn 1.00
Several dt 1.00
subterfuges nn 1.00
indecisiveness nn 1.00
regained vb 1.00
Marcello nn 1.00
folk-tale nn 1.00
Corn nn 1.00
integral jj 1.00
body-tissue nn 1.00
vitality nn 1.00
Thutmose nn 1.00
savory jj 1.00
Moors nn 1.00
gab nn 1.00
Kemble nn 1.00
illogical jj 1.00
snap nn 0.08
snap vb 0.92
trespassed vb 1.00
Bull nn 1.00
prerogatives nn 1.00
1946-52 cd 1.00
moralistic jj 1.00
signals nn 0.97
signals vb 0.03
Sultans nn 1.00
strange-sounding jj 1.00
Rockfork nn 1.00
mementos nn 1.00
19th-century nn 1.00
olivefaced jj 1.00
trespasses nn 1.00
Making nn 1.00
tidewater nn 1.00
unwittingly advb 1.00
thickening vb 1.00
fair jj 0.91
fair advb 0.03
fair nn 0.06
fairness nn 1.00
boite fw-nn-tl 1.00
Weissmuller nn 1.00
intern nn 1.00
proverbs nn 1.00
outing nn 1.00
non-white jj 1.00
sarcastic jj 1.00
interpolated vb 1.00
Boland nn 1.00
upstairs jj 0.15
upstairs advb 0.81
upstairs nn 0.04
ridicule nn 0.40
ridicule vb 0.60
fail vb 1.00
Seventies nn 1.00
majors nn 1.00
1.07 cd 1.00
dialing vb 1.00
rode vb 1.00
aging vb 1.00
ROK nn 1.00
half-standard jj 1.00
relativist nn 1.00
backwoods jj 0.20
backwoods nn 0.80
frighten vb 1.00
rods nn 1.00
Dawson nn 1.00
crashed vb 1.00
wearin' vb 1.00
Robards' np$ 1.00
edge nn 0.99
edge vb 0.01
instigating vb 1.00
sumac nn 1.00
featuring vb 1.00
Flory nn 1.00
mailings nn 1.00
crashes nn 1.00
crasher nn 1.00
long-vanished jj 1.00
telescopic jj 1.00
22-year-old jj 1.00
lurched vb 1.00
Gouge vb 1.00
expansions nn 1.00
accouterments nn 1.00
sheathing nn 1.00
portwatchers nn 1.00
exclusively advb 0.88
exclusively ql 0.12
impartiality nn 1.00
carcinoma nn 1.00
discovers vb 1.00
momentous jj 1.00
Pianos nn 1.00
chlorpromazine nn 1.00
organizing vb 1.00
discovery nn 1.00
Ledyard nn 1.00
Leila nn 1.00
shoulder nn 0.98
shoulder vb 0.02
nonsensical jj 1.00
indistinct jj 1.00
alveolus nn 1.00
Fontana nn 1.00
fog-enshrouded jj 1.00
tulip nn 1.00
prizes nn 1.00
Internationale fw-jj-tl 1.00
recall nn 0.10
recall vb 0.90
deposition nn 1.00
imitative jj 1.00
maneuverability nn 1.00
miserably advb 1.00
stein nn 1.00
fifty-five cd 1.00
pseudo-questions nn 1.00
infuriated vb 1.00
Ludwig nn 1.00
Arrowhead nn 1.00
violating vb 1.00
Soiree fw-nn-tl 1.00
Skip nn 0.50
Skip vb 0.50
portrays vb 1.00
Gibault nn 1.00
typically advb 1.00
unseen jj 1.00
press nn 0.78
press vb 0.22
Skid nn 1.00
unrestricted jj 1.00
Carpenters nn 1.00
Professionally advb 1.00
sheltered vb 1.00
rare jj 1.00
suffix nn 1.00
red jj 0.95
red nn 0.05
represented vb 1.00
gust nn 0.50
gust advb 0.50
transferor's nn 1.00
marinated vb 1.00
Dutchman nn 1.00
spice nn 0.50
spice vb 0.50
Rises vb 1.00
afterward advb 1.00
gush nn 1.00
New-Waver nn 1.00
shell nn 1.00
Commissioner's nn 1.00
Etruscan jj 1.00
cabdriver nn 1.00
humour nn 1.00
Barsacs nn 1.00
fleetest jj 1.00
kegs nn 1.00
terrestial jj 1.00
nibs' nn 1.00
sneezed vb 1.00
'scuse vb 1.00
amiable jj 1.00
knotted vb 1.00
bumble-bee nn 1.00
behavioral jj 1.00
contributing vb 1.00
catapulted vb 1.00
proximity nn 1.00
enforce vb 1.00
convulsively advb 1.00
reflection nn 1.00
cooked-over jj 1.00
0.906 cd 1.00
indispensable jj 1.00
specifics nn 1.00
Cabana nn 1.00
nightmare nn 1.00
Graph nn 1.00
emulated vb 1.00
schoolmaster's nn 1.00
providing cs 0.05
providing vb 0.95
mob's nn 1.00
tripod nn 1.00
disillusioned vb 1.00
needing vb 1.00
Bananas nn 1.00
exacted vb 1.00
ultra-fast jj 1.00
Brush-off nn 1.00
frequency nn 1.00
Pasadena's np$ 1.00
datelined vb 1.00
Days nn 1.00
Shih nn 1.00
lakes nn 1.00
Hays nn 1.00
midsummer nn 1.00
wart-hog nn 1.00
Ship nn 1.00
sloshed vb 1.00
overtook vb 1.00
Carwood nn 1.00
poetizing vb 1.00
luscious jj 1.00
scanning nn 0.25
scanning vb 0.75
90-degrees-F nn 1.00
cordial jj 1.00
tongued vb 1.00
innumerable jj 1.00
interviewer nn 1.00
Barton nn 1.00
Bartol nn 1.00
Realty nn 1.00
teach vb 1.00
Bartok nn 1.00
chauffeured vb 1.00
stained-glass nn 1.00
interviewee nn 1.00
interviewed vb 1.00
subspecies nn 1.00
suits nn 0.96
suits vb 0.04
horrid jj 1.00
Prosser nn 1.00
reads vb 1.00
elders nn 1.00
Dow-Jones nn 1.00
non-itemized jj 1.00
o nn 1.00
wide jj 0.93
wide advb 0.04
wide ql 0.02
laborers nn 1.00
sewer's nn 1.00
purportedly advb 1.00
uranyl nn 1.00
suite nn 0.95
suite fw 0.05
Shan nn 1.00
positivism nn 1.00
freewheelers nn 1.00
scooting vb 1.00
alkaloids nn 1.00
amplifying vb 1.00
grandfathers nn 1.00
Saxony nn 1.00
folksongs nn 1.00
Saxons nn 1.00
reagents nn 1.00
Shearn nn 1.00
transmitting nn 0.50
transmitting vb 0.50
skullcap nn 1.00
ungratified jj 1.00
confronted vb 1.00
positivist nn 1.00
defy vb 1.00
unfit jj 1.00
stirs vb 1.00
lordly jj 1.00
deft jj 1.00
Meager jj 1.00
Bathar-on-Walli nn 1.00
jury nn 1.00
bronchiole nn 1.00
56A nn 1.00
principles nn 1.00
dystopias nn 1.00
upturned jj 1.00
Member nn 1.00
punching nn 0.50
punching vb 0.50
Heigh-ho uh 1.00
Betsey nn 1.00
townships nn 1.00
Ulanys nn 1.00
Bonhoeffer nn 1.00
Bedtime nn 1.00
demoniac jj 1.00
12,500 cd 1.00
maternal jj 1.00
Preserving vb 1.00
test-like jj 1.00
chairs nn 1.00
applies vb 1.00
marts nn 1.00
Dove nn 1.00
wove vb 1.00
monolithically advb 1.00
misdirectors nn 1.00
Existentialists nn 1.00
mid-Victorian jj 1.00
refuel vb 1.00
applied vb 1.00
join vb 1.00
optical jj 1.00
$25 nn 1.00
565 nn 0.50
565 cd 0.50
562 cd 1.00
ultra-high-speed jj 1.00
$20 nn 1.00
conceived vb 1.00
joie fw 1.00
supplier nn 1.00
supplies nn 0.76
supplies vb 0.24
$29 nn 1.00
$28 nn 1.00
Exploratory jj 1.00
respond vb 1.00
Tuttle nn 1.00
warmup nn 1.00
poison nn 0.90
poison vb 0.10
junketeering vb 1.00
conceives vb 1.00
Milwaukee nn 1.00
Sextet nn 1.00
Falmouth nn 1.00
Viola nn 1.00
rapped vb 1.00
access nn 1.00
courts nn 0.98
courts vb 0.02
throbbing nn 0.33
throbbing vb 0.67
legislature's nn 1.00
Continue vb 1.00
Waldorf-Astoria nn 1.00
wrongly advb 1.00
alters vb 1.00
corks nn 1.00
self-deceptions nn 1.00
idiomatic jj 1.00
bulbs nn 1.00
retorted vb 1.00
hazes vb 1.00
Lunch nn 1.00
pastes nn 1.00
occupation's nn 1.00
twister-coners nn 1.00
awaken vb 1.00
deceit nn 1.00
pastel nn 1.00
foresee vb 1.00
transluscent jj 1.00
hazel nn 1.00
culture's nn 1.00
pasted vb 1.00
literatures nn 1.00
confiscated vb 1.00
uniting vb 1.00
McRoberts nn 1.00
sultry jj 1.00
head-cold nn 1.00
quarterback nn 1.00
gyration nn 1.00
Blueprints nn 1.00
senile jj 1.00
Photograph nn 1.00
therapists nn 1.00
Organic jj 1.00
internationalists nn 1.00
cleanly advb 1.00
ugliness nn 1.00
softness nn 1.00
ex-mayor nn 1.00
truce nn 1.00
alarmist jj 1.00
Furnishes vb 1.00
powder nn 1.00
suing vb 1.00
truck nn 0.98
truck vb 0.02
concessionaires nn 1.00
Lippman nn 1.00
face-to-wall advb 1.00
comrade nn 1.00
drilled vb 1.00
prompt jj 0.75
prompt vb 0.25
projecting vb 1.00
cheer nn 0.86
cheer vb 0.14
Bend nn 0.80
Bend vb 0.20
Alabama nn 1.00
hostilities nn 1.00
agonized vb 1.00
Afro-Asian jj 1.00
contractual jj 1.00
territories nn 1.00
inhabit vb 1.00
offended vb 1.00
breakoff nn 1.00
agonizes vb 1.00
Beadles' nn 1.00
axial jj 1.00
rattlesnakes nn 1.00
Doolittle nn 1.00
offender nn 1.00
endow vb 1.00
on-again-off-again jj 1.00
Blackmer nn 1.00
father-and-son jj 1.00
renewed vb 1.00
relativism nn 1.00
Senate nn 1.00
misunderstanders nn 1.00
7599 cd 1.00
Rameau's np$ 1.00
tongue nn 1.00
Latter-day nn 1.00
chaplain nn 1.00
Dirt nn 1.00
flatland nn 1.00
fifty-pound jj 1.00
translation nn 1.00
floats vb 1.00
intimations nn 1.00
quelling vb 1.00
narrated vb 1.00
unpleasantly advb 1.00
Mijbil's np$ 1.00
spokesmen nn 1.00
epidermis nn 1.00
contacts nn 0.96
contacts vb 0.04
340-degrees-C nn 1.00
B'dikkat nn 1.00
over-large jj 1.00
Geology nn 1.00
Falcons' nn 1.00
stifle vb 1.00
Europe nn 1.00
respiratory jj 1.00
careerism nn 1.00
applying vb 1.00
trial nn 1.00
observable jj 1.00
currents nn 1.00
grottoes nn 1.00
Cell nn 1.00
triad nn 1.00
grower nn 1.00
Shucks uh 1.00
Newcastle nn 1.00
leaderless jj 1.00
Commandeering vb 1.00
stickpin nn 1.00
truest jj 1.00
Nationalcar nn 1.00
Semmes nn 1.00
Dyerear nn 1.00
star nn 1.00
Expressway nn 1.00
miss nn 0.05
miss vb 0.95
fling vb 1.00
boot-wearer nn 1.00
mountain nn 1.00
expand vb 1.00
metal-working jj 1.00
genuine jj 1.00
Lightly advb 1.00
Blanchard's np$ 1.00
sun's nn 0.75
sun's nn+ 0.25
encomiums nn 1.00
pawn nn 1.00
blood-specked jj 1.00
bottom-living jj 1.00
Paperweight nn 1.00
rearrange vb 1.00
paws nn 1.00
revolt nn 1.00
T.B. nn 1.00
abundant jj 1.00
Fundamental jj 1.00
insides nn 1.00
occasional jj 1.00
straightway advb 1.00
Cooked vb 1.00
lulls nn 1.00
mechanochemically advb 1.00
beryllium nn 1.00
l'Universite fw-at+nn-tl 1.00
chicken nn 0.97
chicken vb 0.03
secede vb 1.00
largesse nn 1.00
Ferris nn 1.00
accurate jj 1.00
smelled vb 1.00
labeled vb 1.00
agglutination nn 1.00
Fran's np$ 1.00
parish nn 1.00
intervened vb 1.00
tethered vb 1.00
5.4865771 cd 1.00
taxicab nn 1.00
positively advb 0.89
positively ql 0.11
avenge vb 1.00
diplomacy nn 1.00
weekends nn 1.00
installment nn 1.00
Survivability nn 1.00
legislate vb 1.00
Bonenfant nn 1.00
rapidly advb 0.98
rapidly ql 0.02
Care nn 1.00
Court-packing nn 1.00
6124 cd 1.00
consume vb 1.00
lummox nn 1.00
retaliating vb 1.00
Carl nn 1.00
Carr nn 1.00
Cars nn 1.00
grabbing nn 0.25
grabbing vb 0.75
Amateur nn 0.67
Amateur jj 0.33
collection nn 1.00
stripped vb 1.00
swears vb 1.00
SAAMI's nn 0.67
SAAMI's np$ 0.33
half-life nn 1.00
Limit vb 1.00
Nonresident jj 1.00
offices nn 1.00
Carried vb 1.00
monopolists nn 1.00
scattergun nn 1.00
brunches nn 1.00
tropho- jj 1.00
Haliburton nn 1.00
Rheinholdt nn 1.00
Funds nn 1.00
scrubbed vb 1.00
rebirth nn 1.00
5:30 cd 1.00
leveling nn 0.44
leveling vb 0.56
accompanied vb 1.00
dentures nn 1.00
bagpipe nn 1.00
squeaking nn 1.00
Alamo nn 1.00
stationed vb 1.00
freezers nn 1.00
Pena nn 1.00
Capek's np$ 1.00
violent jj 1.00
spidery jj 1.00
handkerchief nn 1.00
skeletons nn 1.00
grabbin' vb 1.00
honeymooners nn 1.00
self-plagiarisms nn 1.00
Dissenting vb 1.00
chambre fw 1.00
x nn 1.00
seventeen cd 1.00
favour nn 1.00
wears vb 1.00
irresponsible jj 1.00
calico nn 1.00
noon nn 1.00
contemplating vb 1.00
Toot uh 1.00
clotheshorse nn 1.00
Crus fw-nns-tl 1.00
110-degrees-C nn 1.00
46% nn 1.00
Stimulates vb 1.00
469 cd 1.00
hairshirt nn 1.00
revulsion nn 1.00
categorizing vb 1.00
462 cd 1.00
734 cd 1.00
metaphysic nn 1.00
Tool nn 1.00
McLish nn 1.00
appears vb 1.00
Sundays nrs 1.00
dusty-slippered jj 1.00
acculturated vb 1.00
Penn nn 1.00
cud nn 1.00
break-away nn 1.00
Straightened vb 1.00
How's wrb+ 1.00
quarterbacks nn 1.00
carnality nn 1.00
blundered vb 1.00
mightily advb 1.00
Trichieri nn 1.00
saturation nn 1.00
disaster nn 1.00
schoolmate nn 1.00
fast-opening jj 1.00
wetlands nn 1.00
astounding jj 1.00
600-yard jj 1.00
Blind jj 1.00
thesaurus nn 1.00
oversimplification nn 1.00
probed vb 1.00
magnificent jj 1.00
she'll pn 1.00
prudent jj 1.00
sapling nn 1.00
yachtsman nn 1.00
insularity nn 1.00
drastically advb 0.80
drastically ql 0.20
How'd wrb+ 1.00
probes nn 1.00
Timothy nn 1.00
femininity nn 1.00
berth nn 1.00
funeral-accessories nn 1.00
travelogue-like jj 1.00
query nn 1.00
Letch nn 1.00
compactly advb 1.00
credo nn 1.00
bookies nn 1.00
Growth nn 1.00
orderliness nn 1.00
Volta nn 1.00
ledgers nn 1.00
Cried vb 1.00
Newells nn 1.00
inter-tribal jj 1.00
competency nn 1.00
anisotropy nn 1.00
extern nn 1.00
Pompeii nn 1.00
sustain vb 1.00
undigested jj 1.00
competence nn 1.00
beguiled vb 1.00
flexibility nn 1.00
conscientious jj 1.00
stabilize vb 1.00
weirdly advb 1.00
permits nn 0.07
permits vb 0.93
textured jj 1.00
absurdities nn 1.00
baser jj 1.00
oleophobic jj 1.00
anti-Newtonian jj 1.00
caryatides nn 1.00
textures nn 1.00
sweet-throated jj 1.00
accordance nn 1.00
pigeon nn 1.00
constrictions nn 1.00
Kloman nn 1.00
above-noted jj 1.00
jolting vb 1.00
subjectively advb 0.83
subjectively ql 0.17
Maryinsky nn 1.00
grill nn 0.91
grill vb 0.09
Achaeans' nn 1.00
Alcorn nn 1.00
detectors nn 1.00
deceleration nn 1.00
Mellow jj 1.00
Selective jj 1.00
laminate nn 1.00
sampled vb 1.00
numerous jj 1.00
Smith-Hughes nn 1.00
over-all jj 1.00
goddamned vb 1.00
Corporate jj 1.00
urinals nn 1.00
Aerospace nn 1.00
Stand nn 0.33
Stand vb 0.67
samples nn 1.00
Huff nn 1.00
debut nn 1.00
gawky jj 1.00
adjusts vb 1.00
Kee-reist uh 1.00
stashed vb 1.00
crackers nn 1.00
blackness nn 1.00
tardiness nn 1.00
incantation nn 1.00
damsel nn 1.00
best-known jj 1.00
outline nn 0.73
outline vb 0.27
invasion-theory nn 1.00
Feverishly advb 1.00
paot fw 1.00
Recognition nn 1.00
n-dimensional nn 1.00
Twain's np$ 1.00
taskmaster nn 1.00
regiments nn 1.00
potential jj 0.58
potential nn 0.42
governments nn 1.00
Boils nn 1.00
prize-fight nn 1.00
instalments nn 1.00
keine fw 1.00
hadd vb 1.00
founder-conductor nn 1.00
last-ditch nn 1.00
majestic jj 1.00
admonition nn 1.00
diminishes vb 1.00
impersonated vb 1.00
metals nn 1.00
enchanted vb 1.00
oxygens nn 1.00
perfusion nn 1.00
hold-back nn 1.00
all-automatic jj 1.00
Missionary nn 0.75
Missionary jj 0.25
classifiers nn 1.00
diminished vb 1.00
clowns nn 1.00
pursed vb 1.00
Beckett's np$ 1.00
fortune-tellers nn 1.00
Thor nn 1.00
Thou pn 1.00
calving vb 1.00
full-time jj 0.96
full-time advb 0.04
Lappenburg-Kemble nn 1.00
purses nn 1.00
Thom nn 1.00
Czechoslovakia nn 1.00
loosely-taped jj 1.00
oyabun fw 1.00
Delphine's np$ 1.00
consumers nn 1.00
pinch-hitter nn 1.00
interposed vb 1.00
smaller-size nn 1.00
rags nn 1.00
elimination nn 1.00
overshoots vb 1.00
conclude vb 1.00
Sierras nn 1.00
tradition nn 1.00
Gentiles nn 1.00
Courcy nn 1.00
hunter's nn 1.00
kitten nn 1.00
Overriding nn 1.00
corrupts vb 1.00
concepts nn 1.00
interchanges nn 1.00
hindquarters nn 1.00
recond vb 1.00
specifications nn 1.00
acidity nn 1.00
determinative jj 1.00
Adventists' nn 1.00
impelling vb 1.00
tested vb 1.00
Libyan nn 1.00
reconciliation nn 1.00
eccentric jj 0.91
eccentric nn 0.09
t' to 1.00
bureaus nn 1.00
mendacious jj 1.00
cash nn 0.94
cash vb 0.06
fiasco nn 1.00
nonism nn 1.00
seed-pods nn 1.00
half-mile nn 1.00
Communese nn 1.00
products nn 1.00
refunded vb 1.00
Dashwood nn 1.00
Disquisition nn 1.00
communal jj 1.00
compensate vb 1.00
ironic jj 1.00
gently advb 1.00
Qui fw- 1.00
823 cd 1.00
hurts vb 1.00
Marcel nn 1.00
puzzlement nn 1.00
rotated vb 1.00
710 cd 1.00
coconut nn 1.00
elevated vb 1.00
charge-excess nn 1.00
Gannett's np$ 1.00
snowflakes nn 1.00
harelips nn 1.00
Consider vb 1.00
Incidentally advb 1.00
elevates vb 1.00
framed vb 1.00
mecum fw-ppo+in 1.00
eagles nn 1.00
Aschenbach nn 1.00
collie nn 1.00
post-Inaugural jj 1.00
miner nn 1.00
mines nn 1.00
reprobating vb 1.00
villa nn 1.00
dentist nn 1.00
Costaggini's np$ 1.00
mined vb 1.00
Myron nn 1.00
1957-1958 cd 1.00
Civil jj 1.00
directed vb 1.00
Jussel nn 1.00
trachea nn 1.00
syllables nn 1.00
dislocation nn 1.00
bobbles nn 1.00
brightest jj 0.50
brightest advb 0.50
Baileefe nn 1.00
two-fold jj 0.50
two-fold advb 0.50
revels nn 1.00
Directionality nn 1.00
brooding vb 1.00
downtrend nn 1.00
Responses nn 1.00
619,000 cd 1.00
translucence nn 1.00
grilled vb 1.00
Pfaff nn 1.00
hypocrisy nn 1.00
wolde ql 1.00
tracers nn 1.00
sashayed vb 1.00
translucency nn 1.00
phrasemaking nn 1.00
polysiloxanes nn 1.00
skipper nn 1.00
slowed vb 1.00
Rifles nn 1.00
alfresco nn 1.00
Bennington nn 1.00
domiciled vb 1.00
trial-book nn 1.00
receiving vb 1.00
Reprisals nn 1.00
desk nn 1.00
Zionism nn 1.00
mitre nn 1.00
slower jj 0.78
slower advb 0.22
operating vb 1.00
Meyerbeer's np$ 1.00
yearly jj 0.45
yearly advb 0.55
excavation nn 1.00
dodged vb 1.00
indefinitely advb 1.00
imitations nn 1.00
Althea nn 1.00
tear nn 0.18
tear vb 0.82
franker jj 1.00
Infrequently advb 1.00
lenient jj 1.00
predictors nn 1.00
fanning nn 0.25
fanning vb 0.75
inspiration nn 1.00
Shirley nn 1.00
somebody pn 1.00
society nn 1.00
thirteenth-century nn 1.00
kilowatts nn 1.00
petrified vb 1.00
whatsoever advb 0.50
whatsoever pn 0.50
thirsted vb 1.00
Jennings nn 1.00
midst nn 1.00
suddenness nn 1.00
terram fw 1.00
cigarettes nn 1.00
1.25-cm nn 1.00
Dryfoos' np$ 1.00
AID's nn 1.00
7% nn 1.00
loser nn 1.00
loses vb 1.00
tt nn 1.00
defenseless jj 1.00
peace nn 1.00
chores nn 1.00
tire nn 0.90
tire vb 0.10
Rake nn 1.00
Kershbaum nn 1.00
juju nn 1.00
Ben-hadad nn 1.00
Newts nn 1.00
dull jj 1.00
Considering vb 0.12
Considering in 0.88
tee nn 1.00
ostensible jj 1.00
tea nn 1.00
ten cd 1.00
1,119 cd 1.00
higher-density nn 1.00
coolers nn 1.00
temperate jj 1.00
handsome jj 1.00
ostensibly advb 1.00
65-degrees nn 1.00
compound nn 0.82
compound vb 0.18
necessaries nn 1.00
distinguishes vb 1.00
Gustavus nn 1.00
prophet nn 1.00
baseballight nn 1.00
Malay nn 1.00
pains-taking jj 1.00
hinged vb 1.00
decades nn 1.00
submerging vb 1.00
eutectic nn 1.00
Lutheran jj 1.00
studious jj 1.00
distinguished vb 1.00
testified vb 1.00
impinging vb 1.00
hinges nn 0.75
hinges vb 0.25
reconsider vb 1.00
Realism nn 1.00
amounting vb 1.00
Gesamtkunstwerke fw 1.00
5.8 cd 1.00
Abide vb 1.00
pray vb 1.00
baptized vb 1.00
Masonic jj 1.00
prohibit vb 1.00
minced vb 1.00
windmill nn 1.00
bore nn 0.13
bore vb 0.87
Jastrow nn 1.00
mushrooming vb 1.00
spoiled vb 1.00
contemplative jj 1.00
prai vb 1.00
born jj 0.01
born vb 0.99
pram nn 1.00
Dominique nn 1.00
violate vb 1.00
Islanders nn 1.00
accountability nn 1.00
voluntary jj 1.00
flushed vb 1.00
Presto fw-jj-tl 1.00
Jurists nn 1.00
deterrence nn 1.00
prospered vb 1.00
absoluteness nn 1.00
to nil 0.00
to to 0.57
to nn 0.00
to ql 0.00
to in 0.43
12-17 cd 1.00
12-14 cd 1.00
value-system nn 1.00
irritation nn 1.00
worlds nn 1.00
grazed vb 1.00
high-rep jj 1.00
sladang nn 1.00
railing nn 1.00
although cs 1.00
1917-18 cd 1.00
Ormsby nn 1.00
jaded vb 1.00
nightshirt nn 1.00
M.'s np$ 1.00
Knights nn 1.00
Oso nn 1.00
turtleneck nn 1.00
Empire nn 1.00
Pirate nn 1.00
heavy-duty nn 1.00
J.H. nn 1.00
pyknotic jj 1.00
Orchesis nn 1.00
committment nn 1.00
inundating vb 1.00
Barataria nn 1.00
parole nn 1.00
step-cone nn 1.00
mEq nn 1.00
potentiometer nn 1.00
940Y nn 1.00
longer-term nn 1.00
Baden-Baden nn 1.00
dark-gray jj 1.00
Simca nn 1.00
Fairmount nn 1.00
frizzled vb 1.00
already advb 0.99
already ql 0.01
gurgle nn 1.00
vocalism nn 1.00
0.043 cd 1.00
pro-tem jj 1.00
sweetest jj 1.00
Philharmonique fw-jj-tl 1.00
downs nn 1.00
unnourished jj 1.00
high-pitched jj 1.00
heelers nn 1.00
folly nn 1.00
fancies vb 1.00
exile nn 1.00
Thirdly advb 1.00
Adelos nn 1.00
peltry nn 1.00
chasm nn 1.00
bother vb 1.00
aberrations nn 1.00
Erikson nn 1.00
long-settled jj 1.00
chase nn 0.60
chase vb 0.40
provocatively advb 1.00
R-Cape nn 1.00
Third advb 0.21
Third od 0.79
crucifying vb 1.00
Resourceful jj 1.00
guy's nn+ 0.67
guy's nn 0.33
immediacy nn 1.00
Uhhu uh 1.00
Smoke nn 1.00
Before cs 0.66
Before in 0.34
unstaring jj 1.00
Massey-Ferguson nn 1.00
Hauling vb 1.00
Marquette nn 1.00
convenient-type jj 1.00
Hodges' np$ 1.00
Liberal-Radical nn 1.00
mastic nn 1.00
speaker nn 1.00
dispersed vb 1.00
delicacies nn 1.00
Smoky nn 0.25
Smoky jj 0.75
happily advb 1.00
Representative nn 0.86
Representative jj 0.14
inexcusable jj 1.00
Pt. nn 1.00
foreseeing vb 1.00
hookworm nn 1.00
submissive jj 1.00
sifting nn 1.00
10:00 cd 1.00
superseded vb 1.00
skirmishing nn 0.50
skirmishing vb 0.50
chattels nn 1.00
graphed vb 1.00
functionalism nn 1.00
year-earlier jj 1.00
alternating vb 1.00
erysipelas nn 1.00
Employers nn 1.00
inventions nn 1.00
latched vb 1.00
Ch'in nn 1.00
Whole jj 1.00
relaying vb 1.00
morphological jj 1.00
scratchy jj 1.00
unto in 1.00
computations nn 1.00
accusing vb 1.00
nutmeg nn 1.00
snared vb 1.00
Dixie nn 1.00
ornraier jj 1.00
opted vb 1.00
homogeneity nn 1.00
three-sectioned jj 1.00
mending vb 1.00
reading-rooms nn 1.00
littering vb 1.00
Superintendent nn 1.00
murdered vb 1.00
humidity nn 1.00
geered vb 1.00
student-physicists nn 1.00
THC nn 1.00
dust-swirling jj 1.00
accounting nn 0.40
accounting vb 0.60
Tidewater nn 1.00
convex jj 1.00
thyratron nn 1.00
fissured vb 1.00
implant nn 1.00
Dartmouth's np$ 1.00
Methuselah nn 1.00
regularly advb 1.00
Ruth nn 1.00
Exceptions nn 1.00
Readiness nn 1.00
Keys nn 1.00
orienting vb 1.00
